Instancia,Tipo,n,n_seeds,F_media,F_desvio,F_melhor,F_pior,SOTA,Dev_media,Dev_melhor
AUpdata_randomSergio_100_4950_10_100_1,R,100,10,391154.6285253305,19025.172063919355,359284.08228737,418462.18349673,274671.87589595496,0.42407964866959635,0.3080483071498224
AUpdata_randomSergio_100_4950_10_100_2,R,100,10,349798.297128073,17887.46397732757,329954.401644925,389146.686382215,240144.42194690008,0.45661637398106714,0.37398320131659524
AUpdata_randomSergio_100_4950_10_100_3,R,100,10,341787.31155156,30948.01296768712,301045.63712177,387371.648412375,238795.9718745201,0.43129429223018334,0.2606813873726488
AUpdata_randomSergio_100_4950_2_100_1,R,100,10,620735.1791391729,51956.85536813458,540167.13874492,712732.378875915,537741.783383315,0.15433689239041015,0.004510260196530447
AUpdata_randomSergio_100_4950_2_100_2,R,100,10,503483.888928106,27371.983131862034,454742.98797463,543150.634934625,454742.9879746299,0.10718340302631635,2.560024561245783e-16
AUpdata_randomSergio_100_4950_2_100_3,R,100,10,574345.113594727,28530.388909258738,543503.811004315,616982.13063324,503515.17236599,0.1406709174142877,0.07941893478685186
AUpdata_randomSergio_100_4950_3_100_1,R,100,10,557581.09925481,53991.424631582726,498941.61871079,644090.271654745,473559.2625072448,0.17742623447530978,0.05359911253590328
AUpdata_randomSergio_100_4950_3_100_2,R,100,10,479136.5128433575,29882.9020995077,416864.06837498,529759.45939889,416864.06837498,0.14938309437685052,0.0
AUpdata_randomSergio_100_4950_3_100_3,R,100,10,529001.980164518,49045.48196199559,443271.42094615,604296.419173335,426769.96353998,0.23954829383151013,0.03866592969498933
AUpdata_randomSergio_100_4950_4_100_1,R,100,10,532628.4506453495,46032.58529781459,459473.993792655,612300.83932085,431868.07630232,0.2333128561058408,0.06392210724788576
AUpdata_randomSergio_100_4950_4_100_2,R,100,10,451930.3998956775,50016.690667808245,404629.683874365,578046.12204527,371372.47686342004,0.2169194758659628,0.08955215877017184
AUpdata_randomSergio_100_4950_4_100_3,R,100,10,472269.151596056,45680.16693255358,387090.442747745,551814.940699115,363878.3229929551,0.2978765750912824,0.06379088362248861
AUpdata_randomSergio_100_4950_5_100_1,R,100,10,496223.558611935,29110.7577935816,448126.98144589,531333.63624439,394386.9866030049,0.25821483839029435,0.13626208944105056
AUpdata_randomSergio_100_4950_5_100_2,R,100,10,419128.0167490565,24504.168019473444,382827.71474723,463171.136447205,327356.3048954801,0.2803419713662693,0.1694527003824199
AUpdata_randomSergio_100_4950_5_100_3,R,100,10,453341.07911609847,35846.01211127202,398085.902719155,510075.183637245,327509.6044702849,0.38420697569872436,0.21549382761772884
AUpdata_randomSergio_100_7425_10_100_1,R,100,10,312676.330304247,21608.921657973955,277290.86649248,347348.41194804,239142.0619938351,0.3074919890600741,0.15952360776929467
AUpdata_randomSergio_100_7425_10_100_2,R,100,10,366019.2695374945,19674.272197206756,342249.79353149,408059.693951225,263311.00595580996,0.3900644532835119,0.2997929664547631
AUpdata_randomSergio_100_7425_10_100_3,R,100,10,363142.3613806025,27720.057829034886,312479.331192095,397249.518905605,262771.57934984507,0.38196970265618885,0.1891671540934446
