Instancia,bvns_random,bvns_greedy,rvns_random,rvns_greedy,salazar,SOTA,melhor_config,Dev_melhor
AUpdata_ta_ca_80_500_2_50_3,147839.970556266,147839.970556266,172511.944246866,147839.970556266,147839.970556266,147839.9705562664,bvns_random,-2.756045099719491e-15
AUpdata_ta_ca_80_500_2_50_4,167862.92920411,171951.361484523,191093.88130245,171951.361484523,167862.92920411,167862.92920410974,bvns_random,1.560406906709635e-15
AUpdata_ta_ca_80_500_2_50_5,167641.313268768,167641.313268768,194456.073490363,167641.313268768,167641.313268768,167641.31326876755,bvns_random,2.60411618316962e-15
AUpdata_ta_ca_80_500_3_100_1,132968.169130114,135235.939233394,144219.507248011,135235.939233394,127265.929590921,127265.92959092054,salazar,3.6589626839213425e-15
AUpdata_ta_ca_80_500_3_100_2,141575.295080293,141575.295080293,146199.677279839,141575.295080293,141575.295080293,141575.2950802927,bvns_random,2.055713918182393e-15
AUpdata_ta_ca_80_500_3_100_3,153863.988126541,153863.988126541,169414.99120704,153863.988126541,153863.988126541,153863.98812654067,bvns_random,2.080682679047548e-15
AUpdata_ta_ca_80_500_3_100_4,118219.302144023,118219.302144023,120215.881246907,118219.302144023,118219.302144023,118219.30214402288,bvns_random,9.847403910835953e-16
AUpdata_ta_ca_80_500_3_100_5,111372.301932745,122886.99449212,123581.193920932,122886.99449212,111372.301932745,111372.30193274452,bvns_random,4.3117830394319865e-15
AUpdata_ta_ca_80_500_3_50_1,159527.978601569,159527.978601569,173653.325781572,159527.978601569,159527.978601569,159527.97860156893,bvns_random,3.6487430871825102e-16
AUpdata_ta_ca_80_500_3_50_2,148400.274505295,148400.274505295,180670.296048256,148400.274505295,148400.274505295,148400.27450529495,bvns_random,3.92234186274302e-16
AUpdata_ta_ca_80_500_3_50_3,139726.731740913,139726.731740913,154314.548908536,141182.398944971,139726.731740913,139726.73174091266,bvns_random,2.499492839554792e-15
AUpdata_ta_ca_80_500_3_50_4,144131.839173173,144131.839173173,160849.182663666,144131.839173173,144131.839173173,144131.83917317312,bvns_random,-8.077002451003407e-16
AUpdata_ta_ca_80_500_3_50_5,106866.621579296,106866.621579296,137293.950411118,106866.621579296,106866.621579296,106866.62157929588,bvns_random,1.0893515683992474e-15
AUpdata_ta_ca_80_500_4_100_1,106530.926492053,106530.926492053,119155.343476639,109105.138945459,106530.926492053,106530.92649205335,bvns_random,-3.2783528406359666e-15
AUpdata_ta_ca_80_500_4_100_2,121641.303961767,128317.944773439,144538.680503709,121641.303961767,121641.303961767,121641.30396176664,bvns_random,2.9907430195217034e-15
AUpdata_ta_ca_80_500_4_100_3,136968.540641983,137440.823774873,150284.243576288,137440.823774873,136968.540641983,136968.54064198252,bvns_random,3.612253700342204e-15
AUpdata_ta_ca_80_500_4_100_4,101550.302127733,102852.366716591,125518.01649087,102852.366716591,101550.302127733,101550.3021277334,bvns_random,-4.012332980376197e-15
AUpdata_ta_ca_80_500_4_100_5,110569.797199678,110569.797199678,150763.900671348,110569.797199678,110569.797199678,110569.79719967778,bvns_random,1.9741261533772523e-15
AUpdata_ta_ca_80_500_4_50_1,134294.119196395,134294.119196395,141640.75284582,135285.456694569,134294.119196395,134294.1191963953,bvns_random,-2.16717088066764e-15
AUpdata_ta_ca_80_500_4_50_2,104371.696251119,104371.696251119,126752.371966181,104371.696251119,104371.696251119,104371.69625111937,bvns_random,-3.4855990060166298e-15
AUpdata_ta_ca_80_500_4_50_3,109215.233549817,109215.233549817,133177.454090854,109215.233549817,109215.233549817,109215.23354981675,bvns_random,2.2650920649214834e-15
AUpdata_ta_ca_80_500_4_50_4,111786.523025831,108473.084355654,131906.711177275,113423.844746965,108473.084355654,108473.084355654,bvns_greedy,0.0
AUpdata_ta_ca_80_500_4_50_5,122166.452166907,122518.8945538,148560.279639069,122518.8945538,121700.577932909,121700.57793290935,salazar,-2.86971492997622e-15
AUpdata_ta_ca_80_500_5_100_1,101276.314858412,101276.314858412,146648.948814756,101276.314858412,101276.314858412,101276.31485841233,bvns_random,-3.1610760667155015e-15
AUpdata_ta_ca_80_500_5_100_2,93890.5544001761,97263.2071856407,116202.547899149,93890.5544001761,93890.5544001761,93890.55440017613,bvns_random,-3.0997612744609705e-16
AUpdata_ta_ca_80_500_5_100_3,92208.1530807939,93403.0735864597,115108.74059299,93403.0735864597,92138.8890341029,92138.88903410292,salazar,-1.5793456358021445e-16
AUpdata_ta_ca_80_500_5_100_4,71513.6245249565,73888.688304183,82113.6479667035,74261.0217260778,71513.6245249565,71513.62452495653,bvns_random,-4.069690307275248e-16
AUpdata_ta_ca_80_500_5_100_5,100885.809764866,96992.1121538482,122217.752536958,96992.1121538482,96992.1121538482,96992.11215384818,bvns_greedy,1.5003194492027053e-16
