instancia_rel,basename,grupo,p,B,alg,seed,objetivo,tempo_s
instances\P\n=40\AUpdata_ta_cp_40_500_4_50_4.txt,AUpdata_ta_cp_40_500_4_50_4,40,4,50,bvns,42,7910.2082109348,0.1362653
instances\P\n=40\AUpdata_ta_cp_40_500_4_50_5.txt,AUpdata_ta_cp_40_500_4_50_5,40,4,50,bvns,42,8127.72290909663,0.1138429
instances\P\n=40\AUpdata_ta_cp_40_500_5_100_1.txt,AUpdata_ta_cp_40_500_5_100_1,40,5,100,bvns,42,6295.11029131545,0.1568434
instances\P\n=40\AUpdata_ta_cp_40_500_5_100_2.txt,AUpdata_ta_cp_40_500_5_100_2,40,5,100,bvns,42,3765.82464082587,0.1627122
instances\P\n=40\AUpdata_ta_cp_40_500_5_100_3.txt,AUpdata_ta_cp_40_500_5_100_3,40,5,100,bvns,42,6718.54293304645,0.157634
instances\P\n=40\AUpdata_ta_cp_40_500_5_100_4.txt,AUpdata_ta_cp_40_500_5_100_4,40,5,100,bvns,42,4658.73862532414,0.1635134
instances\P\n=40\AUpdata_ta_cp_40_500_5_100_5.txt,AUpdata_ta_cp_40_500_5_100_5,40,5,100,bvns,42,4504.20362327251,0.1749299
instances\P\n=40\AUpdata_ta_cp_40_500_5_50_1.txt,AUpdata_ta_cp_40_500_5_50_1,40,5,50,bvns,42,5005.56623802158,0.1576064
instances\P\n=40\AUpdata_ta_cp_40_500_5_50_2.txt,AUpdata_ta_cp_40_500_5_50_2,40,5,50,bvns,42,4281.05177426088,0.1687311
instances\P\n=40\AUpdata_ta_cp_40_500_5_50_3.txt,AUpdata_ta_cp_40_500_5_50_3,40,5,50,bvns,42,4131.92719243613,0.1864212
instances\P\n=40\AUpdata_ta_cp_40_500_5_50_4.txt,AUpdata_ta_cp_40_500_5_50_4,40,5,50,bvns,42,5624.35901599047,0.1610614
instances\P\n=40\AUpdata_ta_cp_40_500_5_50_5.txt,AUpdata_ta_cp_40_500_5_50_5,40,5,50,bvns,42,8763.96127608665,0.1595637
instances\P\n=60\AUpdata_ta_cp_60_100_2_100_1.txt,AUpdata_ta_cp_60_100_2_100_1,60,2,100,bvns,42,174139.177064908,0.1590949
instances\P\n=60\AUpdata_ta_cp_60_100_2_100_2.txt,AUpdata_ta_cp_60_100_2_100_2,60,2,100,bvns,42,196308.148784158,0.1500331
instances\P\n=60\AUpdata_ta_cp_60_100_2_100_3.txt,AUpdata_ta_cp_60_100_2_100_3,60,2,100,bvns,42,208259.39764486,0.1511268
