instancia_rel,basename,grupo,p,B,alg,seed,objetivo,tempo_s
instances\R\n=60\AUpdata_ta_ca_60_100_2_100_5.txt,AUpdata_ta_ca_60_100_2_100_5,60,2,100,rvns,42,181596.288095728,0.0036705
instances\R\n=60\AUpdata_ta_ca_60_100_2_50_1.txt,AUpdata_ta_ca_60_100_2_50_1,60,2,50,rvns,42,171155.359227346,0.0038597
instances\R\n=60\AUpdata_ta_ca_60_100_2_50_2.txt,AUpdata_ta_ca_60_100_2_50_2,60,2,50,rvns,42,182455.999616549,0.0044448
instances\R\n=60\AUpdata_ta_ca_60_100_2_50_3.txt,AUpdata_ta_ca_60_100_2_50_3,60,2,50,rvns,42,245092.536057313,0.0033119
instances\R\n=60\AUpdata_ta_ca_60_100_2_50_4.txt,AUpdata_ta_ca_60_100_2_50_4,60,2,50,rvns,42,167382.590978674,0.0035892
instances\R\n=60\AUpdata_ta_ca_60_100_2_50_5.txt,AUpdata_ta_ca_60_100_2_50_5,60,2,50,rvns,42,159831.423971987,0.0036773
instances\R\n=60\AUpdata_ta_ca_60_100_3_100_1.txt,AUpdata_ta_ca_60_100_3_100_1,60,3,100,rvns,42,146397.268337416,0.0048973
instances\R\n=60\AUpdata_ta_ca_60_100_3_100_2.txt,AUpdata_ta_ca_60_100_3_100_2,60,3,100,rvns,42,148996.731239939,0.0053367
instances\R\n=60\AUpdata_ta_ca_60_100_3_100_3.txt,AUpdata_ta_ca_60_100_3_100_3,60,3,100,rvns,42,149840.241330808,0.0051029
instances\R\n=60\AUpdata_ta_ca_60_100_3_100_4.txt,AUpdata_ta_ca_60_100_3_100_4,60,3,100,rvns,42,142783.338002178,0.0052759
instances\R\n=60\AUpdata_ta_ca_60_100_3_100_5.txt,AUpdata_ta_ca_60_100_3_100_5,60,3,100,rvns,42,124824.848763541,0.0044767
instances\R\n=60\AUpdata_ta_ca_60_100_3_50_1.txt,AUpdata_ta_ca_60_100_3_50_1,60,3,50,rvns,42,133125.326660445,0.0056292
instances\R\n=60\AUpdata_ta_ca_60_100_3_50_2.txt,AUpdata_ta_ca_60_100_3_50_2,60,3,50,rvns,42,163158.768401239,0.0047152
instances\R\n=60\AUpdata_ta_ca_60_100_3_50_3.txt,AUpdata_ta_ca_60_100_3_50_3,60,3,50,rvns,42,150287.138239916,0.0049686
instances\R\n=60\AUpdata_ta_ca_60_100_3_50_4.txt,AUpdata_ta_ca_60_100_3_50_4,60,3,50,rvns,42,117879.845620106,0.0044722
instances\R\n=60\AUpdata_ta_ca_60_100_3_50_5.txt,AUpdata_ta_ca_60_100_3_50_5,60,3,50,rvns,42,183305.679400191,0.0048286
instances\R\n=60\AUpdata_ta_ca_60_100_4_100_1.txt,AUpdata_ta_ca_60_100_4_100_1,60,4,100,rvns,42,145175.158468538,0.0057765
instances\R\n=60\AUpdata_ta_ca_60_100_4_100_2.txt,AUpdata_ta_ca_60_100_4_100_2,60,4,100,rvns,42,113670.382776969,0.0061667
instances\R\n=60\AUpdata_ta_ca_60_100_4_100_3.txt,AUpdata_ta_ca_60_100_4_100_3,60,4,100,rvns,42,141440.776553028,0.0065848
instances\R\n=60\AUpdata_ta_ca_60_100_4_100_4.txt,AUpdata_ta_ca_60_100_4_100_4,60,4,100,rvns,42,118909.738402537,0.0063582
instances\R\n=60\AUpdata_ta_ca_60_100_4_100_5.txt,AUpdata_ta_ca_60_100_4_100_5,60,4,100,rvns,42,141171.455543628,0.0056155
instances\R\n=60\AUpdata_ta_ca_60_100_4_50_1.txt,AUpdata_ta_ca_60_100_4_50_1,60,4,50,rvns,42,123036.495861946,0.0057259
instances\R\n=60\AUpdata_ta_ca_60_100_4_50_2.txt,AUpdata_ta_ca_60_100_4_50_2,60,4,50,rvns,42,91525.6589786956,0.0052007
instances\R\n=60\AUpdata_ta_ca_60_100_4_50_3.txt,AUpdata_ta_ca_60_100_4_50_3,60,4,50,rvns,42,115797.554930675,0.0067219
instances\R\n=60\AUpdata_ta_ca_60_100_4_50_4.txt,AUpdata_ta_ca_60_100_4_50_4,60,4,50,rvns,42,133196.599731731,0.0061611
instances\R\n=60\AUpdata_ta_ca_60_100_4_50_5.txt,AUpdata_ta_ca_60_100_4_50_5,60,4,50,rvns,42,115973.910914629,0.0066899
instances\R\n=60\AUpdata_ta_ca_60_100_5_100_1.txt,AUpdata_ta_ca_60_100_5_100_1,60,5,100,rvns,42,87170.1213559595,0.007507
instances\R\n=60\AUpdata_ta_ca_60_100_5_100_2.txt,AUpdata_ta_ca_60_100_5_100_2,60,5,100,rvns,42,137799.361216659,0.0064869
instances\R\n=60\AUpdata_ta_ca_60_100_5_100_3.txt,AUpdata_ta_ca_60_100_5_100_3,60,5,100,rvns,42,112245.944310284,0.0068546
instances\R\n=60\AUpdata_ta_ca_60_100_5_100_4.txt,AUpdata_ta_ca_60_100_5_100_4,60,5,100,rvns,42,136710.083840415,0.0069905
instances\R\n=60\AUpdata_ta_ca_60_100_5_100_5.txt,AUpdata_ta_ca_60_100_5_100_5,60,5,100,rvns,42,145808.695023333,0.0067506
instances\R\n=60\AUpdata_ta_ca_60_100_5_50_1.txt,AUpdata_ta_ca_60_100_5_50_1,60,5,50,rvns,42,103105.004675238,0.0060414
instances\R\n=60\AUpdata_ta_ca_60_100_5_50_2.txt,AUpdata_ta_ca_60_100_5_50_2,60,5,50,rvns,42,105911.152615828,0.0068765
instances\R\n=60\AUpdata_ta_ca_60_100_5_50_3.txt,AUpdata_ta_ca_60_100_5_50_3,60,5,50,rvns,42,129551.945100805,0.0061313
instances\R\n=60\AUpdata_ta_ca_60_100_5_50_4.txt,AUpdata_ta_ca_60_100_5_50_4,60,5,50,rvns,42,124053.558721942,0.0062598
instances\R\n=60\AUpdata_ta_ca_60_100_5_50_5.txt,AUpdata_ta_ca_60_100_5_50_5,60,5,50,rvns,42,143062.680313384,0.0065997
instances\R\n=60\AUpdata_ta_ca_60_300_2_100_1.txt,AUpdata_ta_ca_60_300_2_100_1,60,2,100,rvns,42,115421.309693599,0.0027713
instances\R\n=60\AUpdata_ta_ca_60_300_2_100_2.txt,AUpdata_ta_ca_60_300_2_100_2,60,2,100,rvns,42,116012.760712828,0.0031078
instances\R\n=60\AUpdata_ta_ca_60_300_2_100_3.txt,AUpdata_ta_ca_60_300_2_100_3,60,2,100,rvns,42,122963.624531832,0.0031151
